Designator,Mid X,Mid Y,Layer,Rotation
C1,146,-56.175,top,90
C2,137.225,-57.6875,top,0
C3,138.2,-69.45,top,90
C4,143.625,-77.6,top,0
C5,106.5,-39.625,top,-90
C6,131.3,-78.525,top,-90
C7,138.5,-82.3,top,90
C8,112.625,-74.325,top,90
C9,125.125,-54.8,top,180
C10,125.125,-51.8,top,180
D1,141,-51.2,top,90
D2,141.1,-57.7875,top,90
D3,141.5,-75.8,top,180
D4,138.2,-72.6375,top,90
D5,119.9125,-58.8,top,180
J1,124.3,-37.83,top,180
J2,143.8,-81,top,0
J3,94.4,-74.5,top,90
J4,114.54,-82.7,top,90
J5,128.6,-82.7,top,90
R1,141.1,-54.4125,top,90
R2,141.2,-60.95,top,90
R3,145.3875,-75.76,top,180
R4,138.2,-76,top,90
R5,136.7,-82.275,top,90
R6,111.1,-69.675,top,-90
R7,114.1,-69.675,top,-90
R8,106.4,-64.975,top,-90
R9,123.125,-58.8,top,180
SW1,94.2,-35.3,top,0
U1,136.8,-52.7875,top,0
U2,143,-69.7,top,-90
U3,113.0148,-58.699999,top,-90
Y1,121.1,-53.05,top,90
